id,latitude,longitude,name,display_name,zone,total_lines,rail
271,514.861,-0.1253,Vauxhall,NULL,1.5,1,1
272,514.965,-0.1447,Victoria,NULL,1,3,1
273,51.583,-0.0195,Walthamstow Central,Walthamstow<br />Central,3,1,1
274,515.775,0.0288,Wanstead,NULL,4,1,0
275,515.043,-0.0558,Wapping,NULL,2,1,0
276,515.247,-0.1384,Warren Street,Warren<br />Street,1,2,0
277,515.235,-0.1835,Warwick Avenue,Warwick<br />Avenue,2,1,0
278,515.036,-0.1143,Waterloo,NULL,1,4,1
279,516.573,-0.4177,Watford,NULL,7,1,0
280,515.519,-0.2963,Wembley Central,Wembley<br />Central,4,1,1
281,515.635,-0.2795,Wembley Park,Wembley<br />Park,4,2,0
282,51.521,-0.2011,Westbourne Park,Westbourne<br />Park,2,1,0
283,515.097,-0.0265,Westferry,NULL,2,1,0
284,51.501,-0.1254,Westminster,NULL,1,3,0
285,51.518,-0.2809,West Acton,West<br />Acton,3,1,0
286,514.872,-0.1953,West Brompton,West<br />Brompton,2,1,1
287,516.095,-0.1883,West Finchley,West<br />Finchley,4,1,0
288,515.287,0.0056,West Ham,West<br />Ham,2.5,3,1
289,515.469,-0.1906,West Hampstead,West<br />Hampstead,2,1,1
290,515.795,-0.3533,West Harrow,West<br />Harrow,5,1,0
291,51.507,-0.0203,West India Quay,West<br />India<br />Quay,2,1,0
292,514.907,-0.2065,West Kensington,West<br />Kensington,2,1,0
293,515.696,-0.4376,West Ruislip,West<br />Ruislip,6,1,1
294,515.194,-0.0612,Whitechapel,NULL,2,3,0
295,51.512,-0.2239,White City,White<br />City,2,1,0
296,515.492,-0.2215,Willesden Green,Willesden<br />Green,2.5,1,0
297,515.326,-0.2478,Willesden Junction,Willesden<br />Junction,2.5,1,1
298,514.214,-0.2064,Wimbledon,NULL,3,1,1
299,514.343,-0.1992,Wimbledon Park,Wimbledon<br />Park,3,1,0
300,51.607,0.0341,Woodford,NULL,4,1,0
301,516.179,-0.1856,Woodside Park,Woodside<br />Park,4,1,0
302,515.975,-0.1097,Wood Green,Wood<br />Green,3,1,0
303,515.027,0.0226,West Silvertown,West<br />Silvertown,3,1,0
304,515.021,0.0319,Pontoon Dock,Pontoon<br />Dock,3,1,0
305,515.037,0.0488,London City Airport,London<br />City<br />Airport,3,1,0
306,51.502,0.0627,King George V,King<br />George V,3,1,0
307,5.147.006,-0.49108,Heathrow Terminal 5,Heathrow<br />Terminal 5,6,1,1
308,51.510.031, -0.224301,Wood Lane,Wood<br />Lane,2,2,0
